Athlete,Nation,D,E,ND,Total,Apparatus,Event
Rebeca Andrade,Brazil,6,9.266,-0.1,15.166,vault,final
Rebeca Andrade,Brazil,5.8,9.2,,15,vault,final
MyKayla Skinner,United States,6,9.033,,15.033,vault,final
MyKayla Skinner,United States,5.8,9,,14.8,vault,final
Yeo Seo-jeong,South Korea,6.2,9.133,,15.333,vault,final
Yeo Seo-jeong,South Korea,5.4,8.733,,14.133,vault,final
Alexa Moreno,Mexico,5.8,8.966,,14.766,vault,final
Alexa Moreno,Mexico,5.6,9.066,,14.666,vault,final
Angelina Melnikova,Russia,5.4,9.266,,14.666,vault,final
Angelina Melnikova,Russia,6,8.8,-0.1,14.7,vault,final
Lilia Akhaimova,Russia,5.8,8.866,,14.666,vault,final
Lilia Akhaimova,Russia,5.6,9.066,,14.666,vault,final
Shallon Olsen,Canada,6,8.7,,14.7,vault,final
Shallon Olsen,Canada,5.4,9,,14.4,vault,final
Jade Carey,United States,3.3,8.633,,11.933,vault,final
Jade Carey,United States,5.8,9.1,-2,12.9,vault,final
Nina Derwael,Belgium,6.7,8.5,,15.2,uneven bars,final
Anastasia Iliankova,Russia,6.3,8.533,,14.833,uneven bars,final
Sunisa Lee,United States,6.2,8.3,,14.5,uneven bars,final
Lu Yufei,China,6,8.4,,14.4,uneven bars,final
Elisabeth Seitz,Germany,6.2,8.2,,14.4,uneven bars,final
Mélanie De Jesus Dos Santos,France,6.1,7.933,,14.033,uneven bars,final
Fan Yilin,China,6.4,7.5,,13.9,uneven bars,final
Angelina Melnikova,Russia,5.9,7.166,,13.066,uneven bars,final
Guan Chenchen,China,6.6,8.033,,14.633,balance beam,final
Tang Xijing,China,6,8.233,,14.233,balance beam,final
Simone Biles,United State,6.1,7.9,,14,balance beam,final
Ellie Black,Canada,6.2,7.666,,13.866,balance beam,final
Sunisa Lee,United States,6.4,7.466,,13.866,balance beam,final
Ashikawa Urara,Japan,5.9,7.833,,13.733,balance beam,final
Flavia Saraiva,Brazil,5.7,7.433,,13.133,balance beam,final
Vladislava Urazova,Russia,5,7.733,,12.733,balance beam,final
Jade Carey,United States,6.3,8.066,,14.366,floor exercise,final
Vanessa Ferrari,Italy,5.9,8.3,,14.2,floor exercise,final
Murakami Mai,Japan,5.9,8.266,,14.166,floor exercise,final
Angelina Melnikova,Russia,5.9,8.266,,14.166,floor exercise,final
Rebeca Andrade,Brazil,5,8.233,-0.1,14.033,floor exercise,final
Jessica Gadirova,Great Britain,5.6,8.4,,14,floor exercise,final
Jennifer Gadirova,Great Britain,5.1,8.133,,13.233,floor exercise,final
Viktoria Listunova,Russia,5.2,7.3,-0.1,12.4,floor exercise,final
Simone Biles,United States,6,9.266,-0.3,14.966,vault,qualification
Simone Biles,United States,5.8,9.6,,15.4,vault,qualification
Jade Carey,United States,6,9.166,,15.166,vault,qualification
Jade Carey,United States,5.8,9.366,,15.166,vault,qualification
Rebeca Andrade,Brazil,6,9.4,,15.4,vault,qualification
Rebeca Andrade,Brazil,5.4,9.4,,14.8,vault,qualification
MyKayla Skinner,United States,6,8.933,,14.933,vault,qualification
MyKayla Skinner,United States,5.8,9,,14.8,vault,qualification
